"","ACSA","NYSY","ASTR","FAGR","FRAX","LITU","POGR","QUAL","QURU","SAAL","TIAM","ULRU"
"1921",0.0085382585373259,0.000210387789074196,0,0.00330862503391441,0.00598602515610558,0.006383415872712,0,0.0285052205313308,0.0328564895997507,6.59313888409478e-05,0.000677793411035001,0.000445874642874001
"1920",0.0082188102117223,0.000336225812920879,0,0.00896431188241237,0.00678781906265097,0.00752160875980465,0,0.0235680801617409,0.0384480432506371,5.80773286279491e-05,0.000721309080349328,0.000499824094853442
"1919",0.00709087244706119,0.000476122564378224,0,0.00255263791292887,0.0060356442760684,0.00952068127799376,0,0.0272119576112987,0.0312597214468653,5.05251086864597e-05,0.000395371576296731,0.000374851699886276
"1918",0.00993203361929465,0.000511077621197193,0,0.00246549626872958,0.00567868060765384,0.00355298120138516,0,0.0309739374760541,0.0306335323822822,4.33038963499065e-05,0.000721939104951325,0.00403301227886128
"1917",0.00721432761740079,0.00051602511357025,0,0.00259382038864553,0.00668933540987844,0.00463964282603566,0,0.0416979746535608,0.0410554015633688,3.64462337219158e-05,0.000850446758729206,0
"1916",0.00765889919728636,0.000437100210257516,0,0.00245413333964306,0.00772983115517019,0.00587581837980149,0,0.0381094915858842,0.045749337037015,2.99881850796134e-05,0.000859037089600303,0
"1915",0.00887140700209145,0.000251607527696587,0,0.00247562207037566,0.00735518724315572,0.00524404534125646,0,0.0281111653996946,0.0451041369049734,2.39702381652635e-05,0.000917338806762737,0
"1914",0.00625544794336845,0.000491073087205449,0,0.00202675003190392,0.00540263680202108,0.00220932580848868,0,0.0299600843674234,0.0285651159678635,1.84386213254397e-05,0.000533958859159802,0
"1913",0.00659917640641594,0.000263240984908614,0,0.00564104600981566,0.00569121964013128,0.0030415169574549,0,0.0348136183361648,0.0380213907465874,1.34473406469823e-05,0.000575736162651042,0
"1912",0.0118030221445539,0.00093339462012196,0,0.00194254894670032,0.00782862437196793,0.00565122870701106,0,0.0356711277169206,0.0441547281766832,9.06158111466142e-06,0.000981761001754223,0
"1911",0.00750587630962918,0.00134094093418508,0,0.00189671042847062,0.00770144034233744,0.00284655436993033,0,0.0334457133264566,0.0370777972918108,5.36404508394304e-06,0.000587382004971735,0
"1910",0.00571773363472748,0.000198716032816951,0,0.00204927459584367,0.00573193521471918,0.00281728715604954,0,0.0346171298302668,1.70611287533922,3.03881478877278e-06,0.000531330728530605,0
"1909",0.0048085749861068,0.00598642730434111,0,0.00209696009160525,0.00558552531795091,0.00337255464513254,0,0.0333224166683836,0.0038948114440921,0,0.000517039067141615,0
"1908",0.00808973563343082,0,0,0.00205618098217701,0.00526272917978868,0.00327792154900008,0,0.0334366665233075,0.00319696638610681,0,0.000501388863288231,0
"1907",0.00647894688539102,0,0,0.00737158707539035,0.00463165886283859,0.00269382026458631,0,0.0314754051390971,0.0304499922111006,0,0.000484020486330574,0
"1906",0.00339622164137157,0,0,0.00137394236915948,0.00445105777571784,0.0026989285971105,0,0.0323608786794791,0.00236622082978894,0,0.000464267806802386,0
"1905",0.00498827296457949,0,0,0.00133946283564002,0.00442088562525431,0.00231407298017291,0,0.0308584717141967,0.00220228908331965,0,0.000441017694521264,0
"1904",0.00860999673883517,0,0,0.00130613834639288,0.0040297228235443,0.00191097714299688,0,0.0297931835767311,0.001539378428843,0,0.000371546775603302,2.46164474289157e-20
"1903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
